"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period"
"81","-17.6","-71.23","600","36","335.78","191.7","3","Owen 2002","strickly relationship","CWP-LH"
"82","-17.6","-71.23","3640","68","135.74","281.26","4","Owen 2002","strickly relationship","CWP-LH"
"83","-17.53","-71.35","5312","156","-22.05","344.07","1","Kennett et al. 2002","strickly relationship","MH"
"84","-17.53","-71.35","5130","139.5","-161.01","335.23","2","Kennett et al. 2002","strickly relationship","MH"
"85","-33.1","-71.8","16","2.5","201.53","117.09","1","Ingram&Southon 1996","strickly relationship","CWP"
"86","-53.181","-70.9223","16","2.5","211.28","126.26","2","Ingram&Southon 1996","strickly relationship","CWP"
"87","0","-90","22","2.5","154.44","101.77","1","Taylor & Berger 1967","strickly relationship","CWP"
"88","0","-90","24","2.5","145.61","98.22","2","Taylor & Berger 1967","strickly relationship","CWP"
"89","-10","-80","20","2.5","230.61","131.37","3","Taylor & Berger 1967","strickly relationship","CWP"
"90","-14","-78","20","2.5","505.42","168.56","4","Taylor & Berger 1967","strickly relationship","CWP"
"91","-24","-70","26","2.5","150.15","112.6","5","Taylor & Berger 1967","strickly relationship","CWP"
"92","-33","-72","20","2.5","241.94","153.87","6","Taylor & Berger 1967","strickly relationship","CWP"
