"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period","label"
"91","-4.6449","-81.3264","26","2.5","137.62","93.65","44","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"92","-4.6449","-81.3264","26","2.5","135.55","93.99","45","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"93","-4.6449","-81.3264","26","2.5","142.8","97.48","46","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"94","-4.6449","-81.3264","26","2.5","137.11","93.04","47","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"95","-4.6449","-81.3264","26","2.5","137.04","93.03","48","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"96","-4.6449","-81.3264","26","2.5","137.23","93.02","49","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"97","-4.6449","-81.3264","26","2.5","137.58","93.34","50","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"98","-4.6449","-81.3264","26","2.5","137.55","93.8","51","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"99","-4.6449","-81.3264","26","2.5","137.14","93.01","52","Etayo et al.2019","reliable date","CWP","-4.6449/26/-81.3264"
"100","-16.33","-74.3","8331","250.5","320.89","409.49","1","Ortlieb et al. 2011","strickly relationship","EH","-16.33/8331/-74.3"
"101","-16.33","-74.3","10095","305","1.35","547.56","2","Ortlieb et al. 2011","strickly relationship","EH","-16.33/10095/-74.3"
"102","-17.23","-71.6","2267","299.5","80.04","412.15","3","Ortlieb et al. 2011","strickly relationship","CWP-LH","-17.23/2267/-71.6"
"103","-17.96","-70.88","3770","84.5","224.03","337.22","4","Ortlieb et al. 2011","strickly relationship","CWP-LH","-17.96/3770/-70.88"
"104","-17.96","-70.88","3770","84.5","-95.1","325.51","5","Ortlieb et al. 2011","strickly relationship","CWP-LH","-17.96/3770/-70.88"
"105","-17.96","-70.88","3798","124","234.93","307.5","6","Ortlieb et al. 2011","strickly relationship","CWP-LH","-17.96/3798/-70.88"
"106","-17.96","-70.88","3798","124","118.98","308.33","7","Ortlieb et al. 2011","strickly relationship","CWP-LH","-17.96/3798/-70.88"
"107","-17.96","-70.88","6886","101.5","892.91","307.56","8","Ortlieb et al. 2011","strickly relationship","EH","-17.96/6886/-70.88"
"108","-17.96","-70.88","6886","101.5","674.15","306.51","9","Ortlieb et al. 2011","strickly relationship","EH","-17.96/6886/-70.88"
"109","-17.96","-70.88","6886","101.5","258.03","314.49","10","Ortlieb et al. 2011","strickly relationship","EH","-17.96/6886/-70.88"
"110","-17.96","-70.88","7588","101","147.5","252.64","11","Ortlieb et al. 2011","strickly relationship","EH","-17.96/7588/-70.88"
"111","-17.96","-70.88","7588","101","-72.37","251.62","12","Ortlieb et al. 2011","strickly relationship","EH","-17.96/7588/-70.88"
"112","-17.96","-70.88","7588","101","-488.27","260.4","13","Ortlieb et al. 2011","strickly relationship","EH","-17.96/7588/-70.88"
"113","-21.82","-69.72","38","18.5","168.47","133.02","14","Ortlieb et al. 2011","reliable date","CWP","-21.82/38/-69.72"
"114","-23.06","-69.33","28","10.5","204.39","127.23","15","Ortlieb et al. 2011","reliable date","CWP","-23.06/28/-69.33"
"115","-23.06","-69.33","28","10.5","215.79","169.46","16","Ortlieb et al. 2011","reliable date","CWP","-23.06/28/-69.33"
"116","-23.06","-69.33","28","10.5","135.3","97.54","17","Ortlieb et al. 2011","reliable date","CWP","-23.06/28/-69.33"
"117","-23.06","-69.33","28","10.5","134.9","96.59","18","Ortlieb et al. 2011","reliable date","CWP","-23.06/28/-69.33"
"118","-23.06","-69.33","41","9.5","207.46","179.76","19","Ortlieb et al. 2011","reliable date","CWP","-23.06/41/-69.33"
"119","-12","-72.7","2","2.5","546.94","168.44","1","Gutierrez et al. 2009","strickly relationship","CWP","-12/2/-72.7"
"120","-12","-72.7","33","6.5","210.41","169.45","2","Gutierrez et al. 2009","strickly relationship","CWP","-12/33/-72.7"
"121","-12","-72.7","59","8.5","181.65","175.39","3","Gutierrez et al. 2009","strickly relationship","CWP","-12/59/-72.7"
"122","-12","-72.7","80","10.5","157.97","131.27","4","Gutierrez et al. 2009","strickly relationship","CWP","-12/80/-72.7"
"123","-14.07","-76.5","0","3.5","229.74","128.9","5","Gutierrez et al. 2009","strickly relationship","CWP","-14.07/0/-76.5"
