Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-13.9554;-76.2667;13;marine;Protothaca asperrima;627;31;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;13;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;14;marine;Protothaca asperrima;500;42;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;14;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;15;marine;Protothaca asperrima;617;59;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;15;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;16;marine;Protothaca asperrima;547;41;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;16;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;17;marine;Protothaca asperrima;576;37;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;17;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;18;marine;Protothaca asperrima;622;30;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;18;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;19;marine;Protothaca asperrima;585;29;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;19;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;20;marine;Protothaca asperrima;422;82;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;20;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;21;marine;Protothaca asperrima;621;44;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;21;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;22;marine;Protothaca asperrima;662;55;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;22;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;23;marine;Protothaca asperrima;511;36;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;23;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;24;marine;Protothaca asperrima;583;36;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;24;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;25;marine;Protothaca asperrima;605;42;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;25;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;26;marine;Protothaca asperrima;549;55;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;26;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;27;marine;Protothaca asperrima;676;62;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;27;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;28;marine;Protothaca asperrima;822;65;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;28;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;29;marine;Protothaca asperrima;611;36;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;29;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;30;marine;Protothaca asperrima;544;41;Etayo et al.2019;reliable date;CWP
-13.9554;-76.2667;30;normal;collected date;7.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;31;marine;Donax obesulus;605;36;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;31;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;32;marine;Donax obesulus;575;53;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;32;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;33;marine;Donax obesulus;497;71;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;33;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
